,Week,Start,HomeTeam,AwayTeam,HomePoints,AwayPoints,Winner,Loser,Tie1,Tie2
205,14,2020-12-13 16:25:00,SF,WAS,,,,,,
206,14,2020-12-13 20:20:00,BUF,PIT,,,,,,
207,14,2020-12-14 20:15:00,CLE,BAL,,,,,,
208,15,2020-12-17 20:20:00,LV,LAC,,,,,,
209,15,2020-12-20 13:00:00,GB,CAR,,,,,,
210,15,2020-12-20 13:00:00,IND,HOU,,,,,,
211,15,2020-12-20 13:00:00,MIA,NE,,,,,,
212,15,2020-12-20 13:00:00,WAS,SEA,,,,,,
213,15,2020-12-20 13:00:00,DEN,BUF,,,,,,
214,15,2020-12-20 13:00:00,NYG,CLE,,,,,,
215,15,2020-12-20 13:00:00,TEN,DET,,,,,,
216,15,2020-12-20 13:00:00,LAR,NYJ,,,,,,
217,15,2020-12-20 13:00:00,ATL,TB,,,,,,
218,15,2020-12-20 13:00:00,BAL,JAX,,,,,,
219,15,2020-12-20 13:00:00,MIN,CHI,,,,,,
220,15,2020-12-20 16:05:00,ARI,PHI,,,,,,
221,15,2020-12-20 16:25:00,NO,KC,,,,,,
222,15,2020-12-20 20:20:00,DAL,SF,,,,,,
223,15,2020-12-21 20:15:00,CIN,PIT,,,,,,
224,16,2020-12-25 16:30:00,NO,MIN,,,,,,
225,16,2020-12-27 01:00:00,ARI,SF,,,,,,
226,16,2020-12-27 13:00:00,WAS,CAR,,,,,,
227,16,2020-12-27 13:00:00,PIT,IND,,,,,,
228,16,2020-12-27 13:00:00,LV,MIA,,,,,,
229,16,2020-12-27 13:00:00,NYJ,CLE,,,,,,
230,16,2020-12-27 13:00:00,KC,ATL,,,,,,
231,16,2020-12-27 13:00:00,LAC,DEN,,,,,,
232,16,2020-12-27 13:00:00,HOU,CIN,,,,,,
233,16,2020-12-27 13:00:00,DET,TB,,,,,,
234,16,2020-12-27 13:00:00,BAL,NYG,,,,,,
235,16,2020-12-27 13:00:00,JAX,CHI,,,,,,
236,16,2020-12-27 16:05:00,SEA,LAR,,,,,,
237,16,2020-12-27 16:25:00,DAL,PHI,,,,,,
238,16,2020-12-27 20:20:00,GB,TEN,,,,,,
239,16,2020-12-28 20:15:00,NE,BUF,,,,,,
240,17,2021-01-03 13:00:00,CHI,GB,,,,,,
241,17,2021-01-03 13:00:00,CAR,NO,,,,,,
242,17,2021-01-03 13:00:00,DET,MIN,,,,,,
243,17,2021-01-03 13:00:00,CLE,PIT,,,,,,
244,17,2021-01-03 13:00:00,KC,LAC,,,,,,
245,17,2021-01-03 13:00:00,BUF,MIA,,,,,,
246,17,2021-01-03 13:00:00,HOU,TEN,,,,,,
247,17,2021-01-03 13:00:00,NE,NYJ,,,,,,
248,17,2021-01-03 13:00:00,PHI,WAS,,,,,,
249,17,2021-01-03 13:00:00,TB,ATL,,,,,,
250,17,2021-01-03 13:00:00,CIN,BAL,,,,,,
251,17,2021-01-03 13:00:00,NYG,DAL,,,,,,
252,17,2021-01-03 13:00:00,IND,JAX,,,,,,
253,17,2021-01-03 16:25:00,DEN,LV,,,,,,
254,17,2021-01-03 16:25:00,SF,SEA,,,,,,
255,17,2021-01-03 16:25:00,LAR,ARI,,,,,,
